Time [h]	Intlet Temperature [C]	Outlet Temperature [C]
0	10	0
1	-6	-3
2	2.5176	5.5176
3	3.92304	6.92304
4	4.1995	7.1995
5	4.23915	7.23915
6	4.223	7.223
7	4.19371	7.19371
8	4.16541	7.16541
9	4.13962	7.13962
10	4.11815	7.11815
11	4.1006	7.1006
12	4.08755	7.08755
13	4.07719	7.07719
14	4.06996	7.06996
15	4.06566	7.06566
16	4.06417	7.06417
17	4.06489	7.06489
18	4.06751	7.06751
19	4.07273	7.07273
20	4.07953	7.07953
21	4.08764	7.08764
22	4.0957	7.0957
23	4.10826	7.10826
24	4.12142	7.12142
25	4.13474	7.13474
26	4.14424	7.14424
27	4.15408	7.15408
28	4.16414	7.16414
29	4.17421	7.17421
30	4.18451	7.18451
31	4.196	7.196
32	4.20774	7.20774
33	4.22024	7.22024
34	4.23291	7.23291
35	4.24625	7.24625
36	4.26019	7.26019
37	4.27385	7.27385
38	4.2891	7.2891
39	4.30432	7.30432
40	4.32004	7.32004
41	4.33571	7.33571
42	4.35266	7.35266
43	4.36941	7.36941
44	4.38645	7.38645
45	4.40417	7.40417
46	4.42176	7.42176
47	4.44023	7.44023
48	4.45948	7.45948
49	4.47759	7.47759
50	4.47669	7.47669
51	4.46588	7.46588
52	4.4528	7.4528
53	4.43793	7.43793
54	4.42153	7.42153
55	4.4056	7.4056
56	4.38811	7.38811
57	4.36878	7.36878
58	4.35005	7.35005
59	4.33055	7.33055
60	4.31083	7.31083
61	4.29109	7.29109
62	4.27199	7.27199
63	4.25043	7.25043
64	4.22962	7.22962
65	4.20798	7.20798
66	4.18725	7.18725
67	4.16605	7.16605
68	4.14482	7.14482
69	4.1227	7.1227
70	4.10082	7.10082
71	4.07831	7.07831
72	4.05653	7.05653
73	4.0342	7.0342
74	4.02915	7.02915
75	4.03143	7.03143
76	4.03785	7.03785
77	4.04468	7.04468
78	4.05352	7.05352
79	4.06341	7.06341
80	4.07355	7.07355
81	4.0847	7.0847
82	4.09595	7.09595
83	4.1084	7.1084
84	4.12043	7.12043
85	4.13327	7.13327
86	4.14605	7.14605
87	4.16041	7.16041
88	4.17449	7.17449
89	4.18839	7.18839
90	4.20325	7.20325
91	4.21788	7.21788
92	4.23295	7.23295
93	4.24824	7.24824
94	4.2634	7.2634
95	4.27923	7.27923
96	4.29488	7.29488
97	4.31129	7.31129
98	4.33093	7.33093
99	4.35245	7.35245
100	4.37542	7.37542
101	4.39733	7.39733
102	4.42058	7.42058
103	4.44404	7.44404
104	4.4676	7.4676
105	4.49205	7.49205
106	4.51535	7.51535
107	4.53984	7.53984
108	4.56485	7.56485
109	4.58968	7.58968
110	4.61554	7.61554
111	4.64021	7.64021
112	4.66492	7.66492
113	4.69047	7.69047
114	4.71653	7.71653
115	4.7411	7.7411
116	4.76828	7.76828
117	4.79454	7.79454
118	4.82083	7.82083
119	4.84707	7.84707
120	4.87351	7.87351
121	4.89962	7.89962
122	4.90666	7.90666
123	4.90735	7.90735
124	4.90462	7.90462
125	4.90171	7.90171
126	4.89634	7.89634
127	4.8907	7.8907
128	4.88473	7.88473
129	4.87671	7.87671
130	4.8684	7.8684
131	4.86048	7.86048
132	4.85123	7.85123
133	4.84147	7.84147
134	4.83297	7.83297
135	4.82321	7.82321
136	4.81221	7.81221
137	4.80154	7.80154
138	4.79032	7.79032
139	4.77992	7.77992
140	4.76845	7.76845
141	4.75718	7.75718
142	4.74653	7.74653
143	4.73331	7.73331
144	4.72127	7.72127
145	4.70893	7.70893
146	4.68409	7.68409
147	4.65437	7.65437
148	4.62307	7.62307
149	4.59149	7.59149
150	4.55689	7.55689
151	4.52271	7.52271
152	4.48656	7.48656
153	4.45045	7.45045
154	4.41394	7.41394
155	4.37625	7.37625
156	4.33875	7.33875
157	4.29918	7.29918
158	4.26151	7.26151
159	4.22199	7.22199
160	4.18303	7.18303
161	4.14257	7.14257
162	4.10196	7.10196
163	4.06155	7.06155
164	4.01916	7.01916
165	3.97764	6.97764
166	3.93553	6.93553
167	3.89443	6.89443
168	3.85159	6.85159
169	3.80875	6.80875
170	3.78335	6.78335
171	3.76619	6.76619
172	3.75156	6.75156
173	3.73896	6.73896
174	3.72703	6.72703
175	3.7166	6.7166
176	3.70626	6.70626
177	3.69693	6.69693
178	3.68763	6.68763
179	3.67992	6.67992
180	3.67102	6.67102
181	3.66318	6.66318
182	3.65589	6.65589
183	3.64778	6.64778
184	3.64126	6.64126
185	3.63473	6.63473
186	3.62802	6.62802
187	3.6211	6.6211
188	3.61537	6.61537
189	3.60886	6.60886
190	3.60327	6.60327
191	3.59791	6.59791
192	3.59234	6.59234
193	3.58616	6.58616
194	3.5746	6.5746
195	3.5598	6.5598
196	3.54385	6.54385
197	3.52759	6.52759
198	3.51126	6.51126
199	3.49403	6.49403
200	3.47662	6.47662
201	3.45894	6.45894
202	3.44109	6.44109
203	3.42276	6.42276
204	3.40498	6.40498
205	3.38778	6.38778
206	3.36827	6.36827
207	3.3508	6.3508
208	3.33185	6.33185
209	3.31358	6.31358
210	3.29434	6.29434
211	3.27581	6.27581
212	3.25713	6.25713
213	3.2381	6.2381
214	3.21899	6.21899
215	3.19997	6.19997
216	3.18153	6.18153
217	3.16167	6.16167
218	3.14418	6.14418
219	3.12475	6.12475
220	3.10498	6.10498
221	3.08579	6.08579
222	3.06624	6.06624
223	3.04701	6.04701
224	3.02752	6.02752
225	3.00938	6.00938
226	2.98843	5.98843
227	2.96922	5.96922
228	2.94969	5.94969
229	2.93033	5.93033
230	2.90917	5.90917
231	2.89005	5.89005
232	2.87144	5.87144
233	2.85145	5.85145
234	2.83116	5.83116
235	2.81174	5.81174
236	2.79151	5.79151
237	2.77197	5.77197
238	2.75201	5.75201
239	2.73189	5.73189
240	2.71221	5.71221
241	2.69184	5.69184
242	2.67007	5.67007
243	2.64915	5.64915
244	2.62693	5.62693
245	2.60422	5.60422
246	2.58253	5.58253
247	2.56015	5.56015
248	2.53727	5.53727
249	2.51441	5.51441
250	2.49115	5.49115
251	2.46903	5.46903
252	2.44602	5.44602
253	2.42311	5.42311
254	2.40051	5.40051
255	2.37772	5.37772
256	2.35443	5.35443
257	2.33114	5.33114
258	2.30806	5.30806
259	2.28493	5.28493
260	2.2619	5.2619
261	2.23812	5.23812
262	2.21571	5.21571
263	2.19107	5.19107
264	2.16724	5.16724
265	2.14354	5.14354
266	2.13125	5.13125
267	2.12442	5.12442
268	2.11918	5.11918
269	2.11538	5.11538
270	2.11235	5.11235
271	2.11031	5.11031
272	2.10946	5.10946
273	2.10828	5.10828
274	2.10669	5.10669
275	2.10745	5.10745
276	2.10791	5.10791
277	2.10822	5.10822
278	2.10735	5.10735
279	2.10869	5.10869
280	2.11014	5.11014
281	2.11125	5.11125
282	2.11346	5.11346
283	2.11513	5.11513
284	2.11625	5.11625
285	2.11856	5.11856
286	2.12052	5.12052
287	2.12283	5.12283
288	2.12561	5.12561
289	2.12807	5.12807
290	2.11837	5.11837
291	2.10164	5.10164
292	2.08266	5.08266
293	2.06183	5.06183
294	2.03986	5.03986
295	2.01933	5.01933
296	1.99524	4.99524
297	1.97143	4.97143
298	1.94754	4.94754
299	1.92323	4.92323
300	1.89826	4.89826
301	1.87352	4.87352
302	1.84794	4.84794
303	1.82206	4.82206
304	1.79661	4.79661
305	1.76981	4.76981
306	1.74477	4.74477
307	1.71854	4.71854
308	1.6918	4.6918
309	1.66465	4.66465
310	1.6382	4.6382
311	1.61154	4.61154
312	1.58398	4.58398
313	1.55671	4.55671
314	1.54701	4.54701
315	1.54707	4.54707
316	1.55082	4.55082
317	1.55642	4.55642
318	1.56351	4.56351
319	1.57207	4.57207
320	1.58159	4.58159
321	1.59172	4.59172
322	1.60235	4.60235
323	1.61356	4.61356
324	1.62575	4.62575
325	1.63736	4.63736
326	1.65087	4.65087
327	1.6637	4.6637
328	1.67736	4.67736
329	1.69095	4.69095
330	1.70532	4.70532
331	1.71961	4.71961
332	1.73446	4.73446
333	1.74932	4.74932
334	1.76476	4.76476
335	1.7801	4.7801
336	1.79573	4.79573
337	1.81148	4.81148
338	1.82452	4.82452
339	1.83632	4.83632
340	1.848	4.848
341	1.85972	4.85972
342	1.87129	4.87129
343	1.88286	4.88286
344	1.89427	4.89427
345	1.90551	4.90551
346	1.91726	4.91726
347	1.9284	4.9284
348	1.94014	4.94014
349	1.95157	4.95157
350	1.96297	4.96297
351	1.97525	4.97525
352	1.98635	4.98635
353	1.99865	4.99865
354	2.01053	5.01053
