time [d]	Qevap [W]	mdot [kg/s]
0	-3032.52404	0.241828074
1	-2460.14418	0.196183746
2	-2036.96376	0.162437301
3	-2296.97182	0.183171596
4	-1977.42194	0.15768915
5	-1536.21403	0.122505106
6	-1730.66998	0.13801196
7	-2327.86931	0.185635511
8	-2328.53881	0.185688901
9	-2548.637	0.20324059
10	-2770.33653	0.220919979
11	-3034.18141	0.241960241
12	-2920.70103	0.232910768
13	-3256.99283	0.259728296
14	-2961.96745	0.236201551
15	-2760.46303	0.220132618
16	-2094.44716	0.167021305
17	-2216.89273	0.176785704
18	-2242.62636	0.178837828
19	-2443.44945	0.194852428
20	-2273.9366	0.181334657
21	-2581.02663	0.205823496
22	-3001.49382	0.239353574
23	-3529.06255	0.281424446
24	-3532.61025	0.281707357
25	-3711.13548	0.295943818
26	-3258.97754	0.259886566
27	-3290.04598	0.262364114
28	-2377.79126	0.189616528
29	-1763.42543	0.140624038
30	-1632.3892	0.130174577
31	-2151.26405	0.171552157
32	-2168.21228	0.172903691
33	-1970.86032	0.157165895
34	-2199.55216	0.175402884
35	-2418.76271	0.192883789
36	-2438.47734	0.194455928
37	-2462.43855	0.196366711
38	-2902.50233	0.231459515
39	-2989.05178	0.238361386
40	-2400.00956	0.191388322
41	-2046.50108	0.163197853
42	-1798.2185	0.143398605
43	-1818.81778	0.14504129
44	-1723.57159	0.137445901
45	-1443.38896	0.115102788
46	-1268.3879	0.101147361
47	-2027.6035	0.16169087
48	-2203.84606	0.1757453
49	-1936.37093	0.154415544
50	-1993.66544	0.158984485
51	-2005.72125	0.159945873
52	-2111.40722	0.168373781
53	-2297.80642	0.183238151
54	-2789.35813	0.222436852
55	-3018.52187	0.240711472
56	-2016.75084	0.160825426
57	-1967.87578	0.156927893
58	-2072.12265	0.165241041
59	-1759.15519	0.140283508
60	-1854.30115	0.147870905
61	-1890.74275	0.150776934
62	-2197.54977	0.175243203
63	-2698.8039	0.215215621
64	-2161.80406	0.172392669
65	-1967.65166	0.156910021
66	-1979.59541	0.157862472
67	-1651.40482	0.131690975
68	-1911.44824	0.152428089
69	-1077.78632	0.085947872
70	-1007.07048	0.080308651
71	-769.52551	0.061365671
72	-695.17045	0.055436241
73	-648.56623	0.051719795
74	-598.32877	0.047713618
75	-853.72456	0.068080108
76	-782.9172	0.062433588
77	-796.87816	0.063546903
78	-950.01179	0.075758515
79	-821.96595	0.065547524
80	-732.72394	0.058430936
81	-781.23032	0.062299068
82	-960.15959	0.076567751
83	-1519.69922	0.121188136
84	-1369.85966	0.109239207
85	-1759.66232	0.140323949
86	-2024.32698	0.161429584
87	-1666.98766	0.132933626
88	-1234.22585	0.098423114
89	-612.96209	0.04888055
90	-563.12568	0.044906354
91	-458.89363	0.036594389
92	-658.8556	0.052540319
93	-1552.66098	0.123816666
94	-2031.30746	0.161986241
95	-1512.06107	0.120579033
96	-1192.82969	0.095121985
