Time [d]	Qevap [W]	mdot [kg/s]
0	-31241.6623278646	2.49136063216146
1	-25344.8914939453	2.02112372363281
2	-20985.2039938802	1.67346124342448
3	-23663.8585064648	1.88707005638021
4	-20371.7925351367	1.62454485917969
5	-15826.3802085938	1.26207178691406
6	-17829.7048615169	1.42182654394531
7	-23982.1701397982	1.91245375904948
8	-23989.0668389323	1.91300373522135
9	-26256.5624989583	2.09382476074219
10	-28540.5555552734	2.27596136829427
11	-31258.7369784505	2.49272224726563
12	-30089.6397556641	2.39949280351563
13	-33554.1840275391	2.67577225110677
14	-30514.7743061849	2.43339508007813
15	-28438.8368068815	2.2678498249349
16	-21577.4088541471	1.72068651152344
17	-22838.8671875	1.8212812750651
18	-23103.9800339844	1.84242265032552
19	-25172.8993044271	2.00740823808594
20	-23426.5451391276	1.86814554518229
21	-26590.2473962891	2.1204344015625
22	-30921.9835063151	2.4658679031901
23	-36357.1006953776	2.8992903266276
24	-36393.6501727865	2.90220495800781
25	-38232.851563151	3.04887173541667
26	-33574.6310764323	2.67740279720052
27	-33894.7048617188	2.70292702239583
28	-24496.4756946615	1.95346696132813
29	-18167.157118405	1.44873661217448
30	-16817.196179056	1.3410842249349
31	-22162.7473967448	1.76736422623698
32	-22337.3524311849	1.78128807265625
33	-20304.1927083529	1.6191541235026
34	-22660.2213534505	1.80703519557292
35	-24918.5720476563	1.98712695761719
36	-25121.6753470052	2.00332339296875
37	-25368.5286460286	2.02300866393229
38	-29902.1527781901	2.3845416889974
39	-30793.8020835286	2.45564609908854
40	-24725.3732652148	1.9717203561849
41	-21083.4592016016	1.68129658697917
42	-18525.6033003711	1.47732083736979
43	-18737.8211816471	1.49424411334635
44	-17756.5755203776	1.41599485807292
45	-14870.0781251953	1.18581165279948
46	-13067.1831595247	1.04204012421875
47	-20888.7717007161	1.66577126816406
48	-22704.4574651042	1.81056279628906
49	-19948.8758667969	1.59081944720052
50	-20539.1362845508	1.63788965592448
51	-20663.337673112	1.64779407285156
52	-21752.1354160156	1.73462004908854
53	-23672.4565974609	1.8877557093099
54	-28736.5190970052	2.29158844472656
55	-31097.4088548177	2.47985716542969
56	-20776.9661458333	1.6568553546224
57	-20273.4461809896	1.61670224726563
58	-21347.4175348958	1.70234589589844
59	-18123.1640612175	1.44522839414063
60	-19103.3767355664	1.52339527402344
61	-19478.8064231771	1.55333384550781
62	-22639.5920143229	1.80539011269531
63	-27803.6111107422	2.2171938686849
64	-22271.3324659505	1.77602332265625
65	-20271.1371516927	1.61651811419271
66	-20394.1840279948	1.62633046458333
67	-17013.0989576172	1.35670645585938
68	-19692.1180552083	1.57034434270833
69	-11103.5677082617	0.885451970377604
70	-10375.0390633659	0.827355587044271
71	-7927.80381971159	0.632201261588542
72	-7161.78385391276	0.571115140104167
73	-6681.65798611113	0.532827590559896
74	-6164.10156232422	0.491555148632812
75	-8795.23871527995	0.701374698242188
76	-8065.76822920573	0.643203208072917
77	-8209.59635383464	0.654672755664063
78	-9787.20920161458	0.780479202734375
79	-8468.0555560026	0.675283537109375
80	-7548.6675348763	0.601967108007813
81	-8048.38975705078	0.641817365039063
82	-9891.75347246094	0.788816066276042
83	-15656.2413192708	1.24850409264323
84	-14112.5651039063	1.12540391582031
85	-18128.3897570313	1.44564511621094
86	-20855.0173622396	1.6630795344401
87	-17173.6371538411	1.36950854492188
88	-12715.2387153451	1.01397437923177
89	-6314.85677039714	0.503577094856771
90	-5801.43229160593	0.462634153971354
91	-4727.61284745638	0.377002619466146
92	-6787.66059029948	0.541280748958333
93	-15995.8203126758	1.27558375690104
94	-20926.931424069	1.66881430813802
95	-15577.5520829622	1.24222903378906
96	-12288.767360612	0.979965499348958
97	-7773.61545123698	0.619905538411458
98	-8603.1336809375	0.686055317382813
99	-17186.276041862	1.37051643079427
100	-15361.7187503255	1.22501744407552
101	-18333.3767363281	1.46199176523438
102	-18049.5789927734	1.43936036627604
103	-11345.8940976367	0.904776243684896
104	-11286.6189237435	0.900049355859375
105	-10772.8602427344	0.859079764127604
106	-8757.3828124349	0.698355886067708
